timestamp,code,i01,i02,i03,i04r,i05,i06,i07,i08r,i09,i10,n_facebook_friends,n_hangover,age,sex,extra_single_item,time_conversation,presentation,n_party,clients,extra_vignette,extra_description,prop_na_per_row,extra_mean,extra_median,n_clients
28.09.2015 23:08:56,WAM,4,3,1,1,3,3,3,2,3,3,410,2.0,23,Frau,3,3.0,nein,18.0,im Schnitt 1 Mal pro Tag,,NA,0.043478260869565216,2.6,3.0,1.0
29.09.2015 08:37:26,NM,3,2,1,2,3,2,2,3,3,1,180,0.0,23,Frau,4,15.0,nein,2.0,im Schnitt 1 Mal pro Monat,,NA,0.043478260869565216,2.2,2.0,1.0
29.09.2015 08:37:36,HED,4,1,2,1,4,1,2,3,3,2,410,4.0,23,Frau,3,15.0,ja,15.0,im Schnitt mehrfach pro Tag,,NA,0.043478260869565216,2.3,2.0,NA
29.09.2015 08:38:00,UKS,4,1,2,2,3,1,3,2,3,2,321,24.0,21,Frau,4,5.0,nein,36.0,im Schnitt mehrfach pro Tag,,NA,0.043478260869565216,2.3,2.0,NA
29.09.2015 08:38:06,ASS,4,2,3,2,3,2,2,2,3,2,450,3.0,22,Mann,3,NA,ja,15.0,im Schnitt 1 Mal pro Tag,,NA,0.043478260869565216,2.5,2.0,1.0
29.09.2015 08:39:16,GBV,4,1,2,2,3,2,3,2,3,2,400,10.0,21,Frau,3,5.0,nein,25.0,im Schnitt 1 Mal pro Monat,,NA,0.043478260869565216,2.4,2.0,1.0
29.09.2015 08:39:32,MRM,4,1,4,1,4,3,4,2,4,3,412,3.0,26,Frau,4,5.0,nein,16.0,im Schnitt 1 Mal pro Tag,,NA,0.043478260869565216,3.0,3.5,1.0
29.09.2015 10:25:32,SFZM,4,1,3,2,3,2,2,4,2,2,197,0.0,20,Frau,3,0.0,nein,2.0,im Schnitt 1 Mal pro Quartal (oder weniger),,NA,0.043478260869565216,2.5,2.0,1.0
29.09.2015 12:29:38,WEB,3,1,1,2,4,2,3,2,4,2,350,24.0,29,Frau,NA,5.0,nein,56.0,im Schnitt 1 Mal pro Tag,,NA,0.08695652173913043,2.4,2.0,1.0
30.09.2015 12:52:52,FRW,4,1,1,1,4,1,4,1,4,4,0,0.0,40,Frau,4,3.0,ja,4.0,im Schnitt mehrfach pro Tag,,NA,0.043478260869565216,2.5,2.5,NA
01.10.2015 09:13:09,OHN,3,2,2,2,3,2,3,2,4,2,261,4.0,25,Frau,3,5.0,ja,10.0,im Schnitt mehrfach pro Tag,,NA,0.043478260869565216,2.5,2.0,NA
01.10.2015 12:46:04,BGM,4,1,1,1,4,2,3,2,3,2,400,30.0,25,Frau,4,10.0,nein,40.0,im Schnitt mehrfach pro Tag,,NA,0.043478260869565216,2.3,2.0,NA
01.10.2015 22:50:15,Wga,4,1,2,1,4,2,4,2,4,3,600,2.0,20,Frau,4,2.0,nein,5.0,im Schnitt 1 Mal pro Tag,,NA,0.043478260869565216,2.7,2.5,1.0
02.10.2015 08:27:37,KMA,4,2,2,1,4,3,3,2,3,3,200,20.0,28,Frau,4,5.0,nein,15.0,im Schnitt mehrfach pro Tag,,NA,0.043478260869565216,2.7,3.0,NA
02.10.2015 08:49:04,RDA,3,2,4,2,3,3,3,3,3,1,517,0.0,25,Frau,3,10.0,nein,10.0,im Schnitt mehrfach pro Tag,,NA,0.043478260869565216,2.7,3.0,NA
02.10.2015 14:32:59,HPA,4,2,4,2,2,1,3,2,4,2,400,20.0,25,Mann,4,10.0,ja,15.0,im Schnitt mehrfach pro Tag,,NA,0.043478260869565216,2.6,2.0,NA
05.10.2015 21:10:25,OSB,4,1,1,2,4,1,4,2,4,3,550,5.0,24,Frau,4,2.0,ja,8.0,im Schnitt 1 Mal pro Woche,,NA,0.043478260869565216,2.6,2.5,1.0
07.10.2015 12:09:45,FGL,2,2,2,2,3,2,4,3,2,4,325,5.0,29,Frau,2,5.0,ja,1.0,im Schnitt 1 Mal pro Woche,,NA,0.043478260869565216,2.6,2.0,1.0
07.10.2015 21:53:03,RBI,3,2,1,3,2,2,3,2,3,3,200,5.0,22,Frau,3,20.0,nein,25.0,im Schnitt mehrfach pro Tag,,NA,0.043478260869565216,2.4,2.5,NA
09.10.2015 21:38:48,RBA,3,3,1,3,2,4,1,1,2,3,450,28.0,28,Mann,3,5.0,ja,14.0,im Schnitt mehrfach pro Tag,,NA,0.043478260869565216,2.3,2.5,NA
